Marko;0;0;5;12;17;0
Markus;0;5;14;22;88;358
Martin;65;61;95;300;606;597
Martinius;0;0;0;0;0;5
Martinus;0;0;0;0;5;10
Martynas;0;0;0;5;8;4
Marvin;8;4;0;0;4;0
Matas;0;0;0;0;0;0
Mateo;0;0;0;0;0;0
Mateusz;0;0;0;11;95;29
Matheo;0;0;0;0;0;0
Matheus;0;0;0;0;0;4
Mathias;0;7;5;17;156;499
Mathis;0;0;0;4;12;0
Matias;0;0;0;0;26;57
Mats;5;14;23;73;259;222
Matteo;0;0;0;0;4;5
Matthew;0;0;7;18;19;7
Matthias;0;0;7;12;0;0
Mattias;0;0;0;0;8;20
Mattis;0;0;0;9;16;18
Max;0;0;5;7;16;33
Maximilian;0;0;0;0;0;13
Mehdi;0;0;5;12;6;8
Mehmet;5;11;10;15;8;7
Melvin;0;0;0;0;0;0
Michael;29;37;64;90;182;77
Michal;0;6;9;100;72;13
Miguel;0;4;0;5;11;5
Mika;0;0;4;0;0;6
Mikael;5;4;13;31;96;86
Mikail;0;0;0;0;0;0
Mikal;0;4;0;10;23;19
Mike;0;0;0;5;9;5
Mikkel;0;6;11;15;60;59
Mikolaj;0;0;0;0;0;6
Milan;7;0;8;7;11;6
Milian;0;0;0;0;0;0
Milos;0;0;0;8;9;0
Mindaugas;0;0;0;43;26;0
Minh;0;10;7;4;0;4
Mio;0;0;0;0;0;0
Miroslav;0;0;6;11;6;0
Miroslaw;0;23;31;17;0;0
Mohamad;0;0;15;28;27;35
Mohamed;22;46;59;65;69;65
Mohammad;66;66;68;67;80;95
Mohammed;13;28;40;44;56;74
Mons;4;0;0;0;0;0
Morgan;0;0;8;15;8;18
Morten;134;558;614;468;400;118
Mostafa;0;0;0;5;4;7
Muhammad;7;0;22;38;32;21
Muhammed;0;0;0;0;5;5
Mustafa;7;8;22;23;23;20
Narve;5;4;6;0;0;0
Natan;0;0;0;0;0;0
Nataniel;0;0;0;0;0;0
Nathan;0;0;0;0;4;0
Nathaniel;0;0;0;0;0;12
Neo;0;0;0;0;0;0
Nerijus;0;0;0;27;8;0
Nicholas;0;0;8;5;26;32
Nicklas;0;0;0;0;26;19
Niclas;0;0;0;4;20;10
Nicolai;0;4;7;13;60;81
Nicolas;0;0;0;10;23;22
Nicolay;0;0;0;5;20;34
Niels;16;16;12;9;11;4
Niklas;0;0;4;8;62;76
Nikola;4;0;0;13;9;6
Nikolai;5;0;0;12;58;144
Nikolas;0;0;0;0;9;5
Nikolay;0;4;0;5;10;5
Nils;328;257;229;121;85;60
Njål;4;13;10;7;10;17
Noa;0;0;0;0;0;0
Noah;0;0;0;0;4;34
Noel;0;0;0;0;0;5
Norbert;0;0;0;11;5;0
Normann;7;0;0;0;0;0
Norvald;15;8;6;0;0;0
Odd;589;465;300;135;64;29
Oddbjørn;91;53;49;27;17;6
Oddgeir;10;20;19;22;5;0
Oddleif;6;6;4;0;0;0
Oddmund;42;20;9;4;4;0
Oddvar;161;78;50;14;6;6
Oddvin;8;13;0;0;0;0
Odin;0;0;0;5;20;84
Ola;132;124;95;105;109;119
Olaf;52;40;20;9;13;11
Olai;0;0;0;0;0;9
Olav;291;224;154;88;111;101
Ole;483;559;506;430;519;337
Ole-Christian;0;0;6;8;7;6
Ole-Jørgen;0;0;0;4;5;8
Ole-Kristian;0;0;5;15;12;7
Ole-Martin;0;0;0;7;5;14
Ole-Petter;0;6;7;4;6;4
Oliver;0;0;8;9;24;128
Olivier;0;0;0;5;0;0
Olve;0;0;0;0;0;17
Omar;5;12;16;37;35;26
Omer;0;0;0;0;5;0
Omid;0;0;0;5;12;0
Oscar;5;6;4;9;32;96
Oskar;10;8;6;9;20;120
Osman;6;7;10;7;10;9
Osvald;7;6;0;0;0;0
Ottar;56;26;14;6;0;7
Otto;49;42;10;7;0;6
Ove;135;202;152;63;18;12
Paal;6;17;29;8;10;6
Patrick;0;0;16;20;109;98
Patrik;0;0;0;4;19;28
Patryk;0;0;0;10;18;15
Paul;93;75;87;54;41;32
Paulius;0;0;0;8;16;0
Pavel;0;0;0;10;5;0
Pawel;0;0;40;139;63;13
Peder;27;33;21;22;34;94
Pedro;0;0;8;14;5;0
Pelle;0;0;0;0;0;0
Per;1063;935;599;290;188;72
Per-Arne;6;7;6;6;0;0
Per-Erik;4;5;5;4;0;0
Peter;49;68;71;85;80;58
Petter;91;135;145;140;270;158
Philip;0;8;6;17;46;80
Phillip;0;0;0;0;9;19
Piotr;0;20;92;124;55;12
Preben;0;5;24;23;84;75
Przemyslaw;0;0;4;46;19;5
Pål;73;204;298;191;125;37
Radoslaw;0;0;4;36;7;0
Rafael;0;0;0;6;7;0
Rafal;0;0;17;80;25;4
Ragnar;151;62;47;24;18;11
Ragnvald;15;8;7;0;0;0
Rainer;0;9;9;5;0;0
Rami;0;0;0;6;0;5
Ramunas;0;0;6;16;0;0
Rasmus;8;7;6;22;40;50
Ravn;0;0;0;0;0;7
Rayan;0;0;0;0;0;0
Raymond;11;29;80;106;75;12
Reidar;208;118;63;41;19;11
Remi;0;5;27;31;49;25
Remy;0;0;4;5;16;9
Rene;0;4;14;15;27;15
Reza;0;6;7;4;0;7
Ricardo;0;0;4;9;6;0
Richard;20;28;93;80;60;24
Rikard;0;0;8;9;15;9
Rino;0;5;8;5;10;0
Roald;101;90;47;16;6;6
Roar;147;222;211;74;22;8
Robel;0;0;0;0;9;6
Robert;61;91;286;210;148;53
Robertas;0;0;7;6;0;0
Roberto;0;0;0;7;4;0
Robin;0;10;41;43;210;162
Roger;89;237;363;175;45;6
Roland;0;5;5;6;0;4
Rolandas;0;0;18;9;6;0
Rolf;422;298;156;90;45;14
Rolv;20;4;7;0;0;0
Roman;0;12;19;20;9;0
Ronald;28;26;24;4;0;4
Ronnie;0;0;10;17;4;0
Ronny;11;51;368;172;35;9
Roy;100;229;260;115;45;6
Ruben;0;0;10;31;124;102
Rudi;0;4;6;32;20;0
Rudolf;10;0;0;0;0;0
Runar;22;97;82;67;78;37
Rune;153;579;841;305;132;28
Ryan;0;0;0;0;6;7
Ryszard;0;14;13;6;0;0
Said;4;14;23;19;12;15
Salah;0;0;4;5;0;0
Saleh;0;0;5;4;0;0
Salman;0;0;0;0;0;6
Sam;0;4;4;5;9;5
Sami;0;0;11;0;7;4
Samir;0;4;10;10;5;4
Samson;0;0;4;4;0;6
Samuel;11;5;11;23;30;46
Sander;0;0;5;0;26;585
Saulius;0;0;18;22;0;0
Scott;0;0;9;4;12;18
Sean;0;0;0;0;13;17
Sebastian;0;0;8;65;136;360
Selmer;0;0;0;0;0;0
Severin;0;0;0;0;5;0
Seyed;0;0;0;4;0;7
Sigbjørn;47;38;30;27;32;20
Sigfred;0;0;0;0;0;0
Sigmund;111;52;30;20;15;13
Sigurd;73;60;44;43;70;138
Sigvald;0;0;0;5;0;0
Sigvart;0;0;0;0;0;0
Sigve;16;19;22;15;18;38
Silas;0;0;0;0;0;0
Simen;0;8;27;63;363;413
Simon;6;9;19;49;157;207
Sindre;5;13;29;77;259;248
